"","Impactstatements.capab.","Impactstatements.emanc.","Impactstatements.understanding.","Impactstatements.mitig.","Impactstatements.unknown.","Impactstatements.unaddressed.","scores","scores2","g6.composite","g6.rowsums"
"342",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"343",0,0,0,0,0,0,0,0,0,0
"344",2,NA,NA,NA,NA,NA,2,2.33333333333333,2,0.333333333333333
"345",2,0,9,0,3,7,3.5,3.5,3.5,3.5
"346",1,NA,NA,NA,2,6,3,1.83333333333333,3,1.5
"347",NA,NA,NA,NA,NA,NA,NA,2.33333333333333,NA,NA
"348",0,0,0,0,0,8,1.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333
"349",NA,NA,8,NA,8,6,7.33333333333333,4,7.33333333333333,3.66666666666667
"350",0,0,3,0,6,6,2.5,2.5,2.5,2.5
"351",NA,NA,NA,NA,NA,8,8,2.5,8,1.33333333333333
"352",NA,NA,NA,NA,10,9,9.5,3.83333333333333,9.5,3.16666666666667
"353",NA,NA,NA,NA,NA,10,10,2.83333333333333,10,1.66666666666667
"354",3,0,3,2,0,10,3,3,3,3
"355",8,6,NA,5,7,9,7,6.16666666666667,7,5.83333333333333
"356",1,NA,NA,NA,10,10,7,3.83333333333333,7,3.5
"357",7,NA,7,NA,NA,8,7.33333333333333,4.16666666666667,7.33333333333333,3.66666666666667
"358",6,5,8,6,1,2,4.66666666666667,4.66666666666667,4.66666666666667,4.66666666666667
"359",7,7,7,5,7,8,6.83333333333333,6.83333333333333,6.83333333333333,6.83333333333333
"360",0,0,0,0,0,0,0,0,0,0
"361",7,0,0,0,0,7,2.33333333333333,2.33333333333333,2.33333333333333,2.33333333333333
